Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.440000	   -2.73034396e+01	        7.66032004e+00	    3.50942307e+01	    1.84016220e-02	    0.00000000e+00	    4.87210259e+00	    2.76981583e+00	    1.84016220e-02	    0.00000000e+00	    0.00000000e+00
   0.445000	   -2.72686340e+01	        7.69412683e+00	    3.50942307e+01	    1.87437226e-02	    0.00000000e+00	    4.87490730e+00	    2.80047581e+00	    1.87437226e-02	    0.00000000e+00	    0.00000000e+00
   0.450000	   -2.72268152e+01	        7.73494519e+00	    3.50942307e+01	    1.91558419e-02	    0.00000000e+00	    4.87830690e+00	    2.83748245e+00	    1.91558419e-02	    0.00000000e+00	    0.00000000e+00
   0.455000	   -2.71765007e+01	        7.78425984e+00	    3.50942307e+01	    1.96526173e-02	    0.00000000e+00	    4.88242835e+00	    2.88217888e+00	    1.96526173e-02	    0.00000000e+00	    0.00000000e+00
   0.460000	   -2.71159014e+01	        7.84386882e+00	    3.50942307e+01	    2.02517069e-02	    0.00000000e+00	    4.88742623e+00	    2.93619088e+00	    2.02517069e-02	    0.00000000e+00	    0.00000000e+00
   0.465000	   -2.70428903e+01	        7.91594837e+00	    3.50942307e+01	    2.09744137e-02	    0.00000000e+00	    4.89348645e+00	    3.00148751e+00	    2.09744137e-02	    0.00000000e+00	    0.00000000e+00
   0.470000	   -2.69547028e+01	        8.00313678e+00	    3.50942307e+01	    2.18464310e-02	    0.00000000e+00	    4.90083626e+00	    3.08045409e+00	    2.18464310e-02	    0.00000000e+00	    0.00000000e+00
   0.475000	   -2.68482216e+01	        8.10861787e+00	    3.50942307e+01	    2.28986129e-02	    0.00000000e+00	    4.90974791e+00	    3.17597135e+00	    2.28986129e-02	    0.00000000e+00	    0.00000000e+00
   0.480000	   -2.67196037e+01	        8.23624657e+00	    3.50942307e+01	    2.41680361e-02	    0.00000000e+00	    4.92055522e+00	    3.29152332e+00	    2.41680361e-02	    0.00000000e+00	    0.00000000e+00
   0.485000	   -2.65641698e+01	        8.39068064e+00	    3.50942307e+01	    2.56991850e-02	    0.00000000e+00	    4.93365954e+00	    3.43132192e+00	    2.56991850e-02	    0.00000000e+00	    0.00000000e+00
   0.490000	   -2.63763052e+01	        8.57754473e+00	    3.50942307e+01	    2.75452367e-02	    0.00000000e+00	    4.94955031e+00	    3.60044918e+00	    2.75452367e-02	    0.00000000e+00	    0.00000000e+00
   0.495000	   -2.61492250e+01	        8.80362531e+00	    3.50942307e+01	    2.97696401e-02	    0.00000000e+00	    4.96882001e+00	    3.80503565e+00	    2.97696401e-02	    0.00000000e+00	    0.00000000e+00
   0.500000	   -2.58747630e+01	        9.07709992e+00	    3.50942307e+01	    3.24478260e-02	    0.00000000e+00	    4.99218564e+00	    4.05246646e+00	    3.24478260e-02	    0.00000000e+00	    0.00000000e+00
   0.505000	   -2.55431303e+01	        9.40781293e+00	    3.50942307e+01	    3.56691378e-02	    0.00000000e+00	    5.02051572e+00	    4.35162807e+00	    3.56691378e-02	    0.00000000e+00	    0.00000000e+00
   0.510000	   -2.51423420e+01	        9.80760140e+00	    3.50942307e+01	    3.95389263e-02	    0.00000000e+00	    5.05486492e+00	    4.71319755e+00	    3.95389263e-02	    0.00000000e+00	    0.00000000e+00
   0.515000	   -2.46582830e+01	        1.02906601e+01	    3.50942307e+01	    4.41806135e-02	    0.00000000e+00	    5.09650764e+00	    5.14997181e+00	    4.41806135e-02	    0.00000000e+00	    0.00000000e+00
   0.520000	   -2.40739673e+01	        1.08739892e+01	    3.50942307e+01	    4.97379378e-02	    0.00000000e+00	    5.14698991e+00	    5.67726133e+00	    4.97379378e-02	    0.00000000e+00	    0.00000000e+00
   0.525000	   -2.33690614e+01	        1.15778945e+01	    3.50942307e+01	    5.63769946e-02	    0.00000000e+00	    5.20818033e+00	    6.31333714e+00	    5.63769946e-02	    0.00000000e+00	    0.00000000e+00
   0.530000	   -2.25193997e+01	        1.24265626e+01	    3.50942307e+01	    6.42879171e-02	    0.00000000e+00	    5.28234332e+00	    7.07993135e+00	    6.42879171e-02	    0.00000000e+00	    0.00000000e+00
   0.535000	   -2.14962669e+01	        1.34487100e+01	    3.50942307e+01	    7.36861060e-02	    0.00000000e+00	    5.37221583e+00	    8.00280812e+00	    7.36861060e-02	    0.00000000e+00	    0.00000000e+00
   0.540000	   -2.02657699e+01	        1.46783060e+01	    3.50942307e+01	    8.48126173e-02	    0.00000000e+00	    5.48110624e+00	    9.11238715e+00	    8.48126173e-02	    0.00000000e+00	    0.00000000e+00
   0.545000	   -1.87877023e+01	        1.61553741e+01	    3.50942307e+01	    9.79335015e-02	    0.00000000e+00	    5.61301538e+00	    1.04444252e+01	    9.79335015e-02	    0.00000000e+00	    0.00000000e+00
   0.550000	   -1.70152375e+01	        1.79268465e+01	    3.50942307e+01	    1.13337853e-01	    0.00000000e+00	    5.77277301e+00	    1.20407356e+01	    1.13337853e-01	    0.00000000e+00	    0.00000000e+00
   0.555000	   -1.48935922e+01	        2.00474903e+01	    3.50942307e+01	    1.31334454e-01	    0.00000000e+00	    5.96620859e+00	    1.39499473e+01	    1.31334454e-01	    0.00000000e+00	    0.00000000e+00
   0.560000	   -1.23592105e+01	        2.25808790e+01	    3.50942307e+01	    1.52247093e-01	    0.00000000e+00	    6.20035779e+00	    1.62282742e+01	    1.52247093e-01	    0.00000000e+00	    0.00000000e+00
