SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	9
Calculation started : 	12-8-2026 at 15:45:06

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.245000	   -2.98006643e+01	        5.20198528e+00	    3.50942307e+01	    3.99132584e-02	    0.00000000e+00	    4.85876993e+00	    3.03302091e-01	    3.99132584e-02	    0.00000000e+00	    0.00000000e+00
   0.250000	   -2.97995717e+01	        5.20207716e+00	    3.50942307e+01	    3.99256196e-02	    0.00000000e+00	    4.85877564e+00	    3.03375895e-01	    3.99256196e-02	    0.00000000e+00	    0.00000000e+00
   0.255000	   -2.97984787e+01	        5.20217106e+00	    3.50942307e+01	    3.99381531e-02	    0.00000000e+00	    4.85878225e+00	    3.03450653e-01	    3.99381531e-02	    0.00000000e+00	    0.00000000e+00
   0.260000	   -2.97973829e+01	        5.20226665e+00	    3.50942307e+01	    3.99508764e-02	    0.00000000e+00	    4.85878927e+00	    3.03526505e-01	    3.99508764e-02	    0.00000000e+00	    0.00000000e+00
   0.265000	   -2.97962861e+01	        5.20236389e+00	    3.50942307e+01	    3.99638106e-02	    0.00000000e+00	    4.85879654e+00	    3.03603542e-01	    3.99638106e-02	    0.00000000e+00	    0.00000000e+00
   0.270000	   -2.97951861e+01	        5.20246337e+00	    3.50942307e+01	    3.99769803e-02	    0.00000000e+00	    4.85880448e+00	    3.03681911e-01	    3.99769803e-02	    0.00000000e+00	    0.00000000e+00
   0.275000	   -2.97940842e+01	        5.20256473e+00	    3.50942307e+01	    3.99904151e-02	    0.00000000e+00	    4.85881254e+00	    3.03761783e-01	    3.99904151e-02	    0.00000000e+00	    0.00000000e+00
   0.280000	   -2.97929800e+01	        5.20266997e+00	    3.50942307e+01	    4.00041503e-02	    0.00000000e+00	    4.85882247e+00	    3.03843348e-01	    4.00041503e-02	    0.00000000e+00	    0.00000000e+00
   0.285000	   -2.97918720e+01	        5.20277856e+00	    3.50942307e+01	    4.00182280e-02	    0.00000000e+00	    4.85883348e+00	    3.03926860e-01	    4.00182280e-02	    0.00000000e+00	    0.00000000e+00
   0.290000	   -2.97907599e+01	        5.20288990e+00	    3.50942307e+01	    4.00326986e-02	    0.00000000e+00	    4.85884460e+00	    3.04012603e-01	    4.00326986e-02	    0.00000000e+00	    0.00000000e+00
   0.295000	   -2.97896434e+01	        5.20300667e+00	    3.50942307e+01	    4.00476228e-02	    0.00000000e+00	    4.85885812e+00	    3.04100931e-01	    4.00476228e-02	    0.00000000e+00	    0.00000000e+00
   0.300000	   -2.97885215e+01	        5.20312823e+00	    3.50942307e+01	    4.00630732e-02	    0.00000000e+00	    4.85887290e+00	    3.04192256e-01	    4.00630732e-02	    0.00000000e+00	    0.00000000e+00
   0.305000	   -2.97873925e+01	        5.20325692e+00	    3.50942307e+01	    4.00791370e-02	    0.00000000e+00	    4.85889070e+00	    3.04287090e-01	    4.00791370e-02	    0.00000000e+00	    0.00000000e+00
   0.310000	   -2.97862575e+01	        5.20339260e+00	    3.50942307e+01	    4.00959197e-02	    0.00000000e+00	    4.85891064e+00	    3.04386038e-01	    4.00959197e-02	    0.00000000e+00	    0.00000000e+00
   0.315000	   -2.97851126e+01	        5.20353688e+00	    3.50942307e+01	    4.01135477e-02	    0.00000000e+00	    4.85893350e+00	    3.04489835e-01	    4.01135477e-02	    0.00000000e+00	    0.00000000e+00
   0.320000	   -2.97839571e+01	        5.20369209e+00	    3.50942307e+01	    4.01321737e-02	    0.00000000e+00	    4.85896053e+00	    3.04599380e-01	    4.01321737e-02	    0.00000000e+00	    0.00000000e+00
