
SCAPS 3.3.12 ELIS-UGent: Version scaps3312.exe, dated 00-00-   0, 00:00:00
Simulation of I-V curves
Single shot simulation #	8
Calculation started : 	12-8-2026 at 15:43:09

problem definition file :	c:\Users\orden\Desktop\scaps\def\CELL1.def
last saved: 	09-07-2026 at 20:17:00

Calculation under illumination
Optical generation from internal SCAPS calculation
Illumination spectrum read from file
spectrum file :	
C:\Users\orden\Desktop\scaps\spectrum\AM1_5G 1 sun.spe  last saved: 	22-05-2009 at 15:59:48
Neutral density filter: ND	  0.0458
Transmission of ND filter:	  9.0000e-01
Power from spectrum:	  100.0000	mW/cm2
Incident power on solar cell structure	   90.0000	mW/cm2

Working point conditions
Temperature	  300.00	K
Workpoint bias voltage	    0.0000	Volt
Frequency	  1.0000e+06	Hz

Voltage reference convention: voltage referred to right contact, voltage V applied to left contact
Current reference convention: current positive when entering the left contact
Power generated by the cell: = -V*I; power consumed by the cell = +V*I

    v(V)	jtot(mA/cm2)	j_total_rec(mA/cm2)	j_total_gen(mA/cm2)	   jbulk(mA/cm2)	jifr(mA/cm2)	jminor_left(mA/cm2)	jminor_right(mA/cm2)	j_SRH(mA/cm2)	j_Radiative(mA/cm2)	j_Auger(mA/cm2)
   0.250000	   -2.86369980e+01	        6.36465187e+00	    3.50942307e+01	    2.80875537e-02	    0.00000000e+00	    4.85877628e+00	    1.47778804e+00	    2.80875537e-02	    0.00000000e+00	    0.00000000e+00
   0.255000	   -2.86356393e+01	        6.36501079e+00	    3.50942307e+01	    2.80968331e-02	    0.00000000e+00	    4.85878276e+00	    1.47813120e+00	    2.80968331e-02	    0.00000000e+00	    0.00000000e+00
   0.260000	   -2.86342748e+01	        6.36537510e+00	    3.50942307e+01	    2.81062592e-02	    0.00000000e+00	    4.85878944e+00	    1.47847940e+00	    2.81062592e-02	    0.00000000e+00	    0.00000000e+00
   0.265000	   -2.86329043e+01	        6.36574571e+00	    3.50942307e+01	    2.81158483e-02	    0.00000000e+00	    4.85879664e+00	    1.47883323e+00	    2.81158483e-02	    0.00000000e+00	    0.00000000e+00
   0.270000	   -2.86315264e+01	        6.36612299e+00	    3.50942307e+01	    2.81256200e-02	    0.00000000e+00	    4.85880402e+00	    1.47919335e+00	    2.81256200e-02	    0.00000000e+00	    0.00000000e+00
   0.275000	   -2.86301403e+01	        6.36650854e+00	    3.50942307e+01	    2.81355976e-02	    0.00000000e+00	    4.85881237e+00	    1.47956057e+00	    2.81355976e-02	    0.00000000e+00	    0.00000000e+00
   0.280000	   -2.86287456e+01	        6.36690354e+00	    3.50942307e+01	    2.81458087e-02	    0.00000000e+00	    4.85882186e+00	    1.47993587e+00	    2.81458087e-02	    0.00000000e+00	    0.00000000e+00
   0.285000	   -2.86273397e+01	        6.36730945e+00	    3.50942307e+01	    2.81562866e-02	    0.00000000e+00	    4.85883275e+00	    1.48032041e+00	    2.81562866e-02	    0.00000000e+00	    0.00000000e+00
   0.290000	   -2.86259226e+01	        6.36772800e+00	    3.50942307e+01	    2.81670708e-02	    0.00000000e+00	    4.85884536e+00	    1.48071557e+00	    2.81670708e-02	    0.00000000e+00	    0.00000000e+00
   0.295000	   -2.86244909e+01	        6.36815907e+00	    3.50942307e+01	    2.81782091e-02	    0.00000000e+00	    4.85885782e+00	    1.48112304e+00	    2.81782091e-02	    0.00000000e+00	    0.00000000e+00
   0.300000	   -2.86230415e+01	        6.36860738e+00	    3.50942307e+01	    2.81897584e-02	    0.00000000e+00	    4.85887276e+00	    1.48154486e+00	    2.81897584e-02	    0.00000000e+00	    0.00000000e+00
   0.305000	   -2.86215742e+01	        6.36907541e+00	    3.50942307e+01	    2.82017873e-02	    0.00000000e+00	    4.85889017e+00	    1.48198345e+00	    2.82017873e-02	    0.00000000e+00	    0.00000000e+00
   0.310000	   -2.86200831e+01	        6.36956628e+00	    3.50942307e+01	    2.82143784e-02	    0.00000000e+00	    4.85891013e+00	    1.48244178e+00	    2.82143784e-02	    0.00000000e+00	    0.00000000e+00
   0.315000	   -2.86185647e+01	        6.37008391e+00	    3.50942307e+01	    2.82276311e-02	    0.00000000e+00	    4.85893289e+00	    1.48292339e+00	    2.82276311e-02	    0.00000000e+00	    0.00000000e+00
   0.320000	   -2.86170141e+01	        6.37063474e+00	    3.50942307e+01	    2.82416649e-02	    0.00000000e+00	    4.85896049e+00	    1.48343259e+00	    2.82416649e-02	    0.00000000e+00	    0.00000000e+00
   0.325000	   -2.86154253e+01	        6.37122408e+00	    3.50942307e+01	    2.82566243e-02	    0.00000000e+00	    4.85899288e+00	    1.48397458e+00	    2.82566243e-02	    0.00000000e+00	    0.00000000e+00
   0.330000	   -2.86137903e+01	        6.37185950e+00	    3.50942307e+01	    2.82726833e-02	    0.00000000e+00	    4.85903117e+00	    1.48455564e+00	    2.82726833e-02	    0.00000000e+00	    0.00000000e+00
   0.335000	   -2.86121001e+01	        6.37254974e+00	    3.50942307e+01	    2.82900521e-02	    0.00000000e+00	    4.85907630e+00	    1.48518339e+00	    2.82900521e-02	    0.00000000e+00	    0.00000000e+00
